,,Pais,Liga,Jogador,Time,Temporada,ass,gols,rank,Ano_inicio
0,,England,Premier_league,Harry Kane,Tottenham Hotspur,2016-2017,7,29,1.,2016
1,,Chile,Premier_league,Alexis Sánchez,Arsenal FC,2016-2017,10,24,2.,2016
2,,Belgium,Premier_league,Romelu Lukaku,Everton FC,2016-2017,6,25,3.,2016
3,,Spain,Premier_league,Diego Costa,Chelsea FC,2016-2017,7,20,4.,2016
4,,England,Premier_league,Dele Alli,Tottenham Hotspur,2016-2017,7,18,5.,2016
5,,Belgium,Premier_league,Kevin De Bruyne,Manchester City,2016-2017,18,6,6.,2016
6,,Argentina,Premier_league,Kun Agüero,Manchester City,2016-2017,3,20,7.,2016
7,,Denmark,Premier_league,Christian Eriksen,Tottenham Hotspur,2016-2017,15,8,,2016
8,,Sweden,Premier_league,Zlatan Ibrahimović,Manchester United,2016-2017,5,17,9.,2016
9,,Iceland,Premier_league,Gylfi Sigurðsson,Swansea City,2016-2017,13,9,,2016
10,,Belgium,Premier_league,Eden Hazard,Chelsea FC,2016-2017,5,16,11.,2016
11,,South Korea,Premier_league,Heung-min Son,Tottenham Hotspur,2016-2017,6,14,12.,2016
12,,Brazil,Premier_league,Coutinho,Liverpool FC,2016-2017,7,13,,2016
13,,Spain,Premier_league,Pedro,Chelsea FC,2016-2017,9,10,14.,2016
14,,Norway,Premier_league,Joshua King,AFC Bournemouth,2016-2017,2,16,15.,2016
15,,Senegal,Premier_league,Sadio Mané,Liverpool FC,2016-2017,5,13,,2016
16,,England,Premier_league,Jamie Vardy,Leicester City,2016-2017,5,13,,2016
17,,Brazil,Premier_league,Roberto Firmino,Liverpool FC,2016-2017,7,11,,2016
18,,England,Premier_league,Jermain Defoe,Sunderland AFC,2016-2017,2,15,19.,2016
19,,Belgium,Premier_league,Christian Benteke,Crystal Palace,2016-2017,2,15,,2016
20,,Germany,Premier_league,Mesut Özil,Arsenal FC,2016-2017,9,8,,2016
21,,Spain,Premier_league,Llorente,Swansea City,2016-2017,1,15,22.,2016
22,,Ivory Coast,Premier_league,Wilfried Zaha,Crystal Palace,2016-2017,9,7,,2016
23,,Spain,Premier_league,Cesc Fàbregas,Chelsea FC,2016-2017,11,5,,2016
24,,France,Premier_league,Olivier Giroud,Arsenal FC,2016-2017,3,12,25.,2016
25,,England,Premier_league,Adam Lallana,Liverpool FC,2016-2017,7,8,,2016
26,,Netherlands,Premier_league,Georginio Wijnaldum,Liverpool FC,2016-2017,9,6,,2016
27,,England,Premier_league,Troy Deeney,Watford FC,2016-2017,4,10,28.,2016
28,,England,Premier_league,Raheem Sterling,Manchester City,2016-2017,7,7,,2016
29,,Wales,Premier_league,Sam Vokes,Burnley FC,2016-2017,3,10,30.,2016
30,,Spain,Premier_league,Álvaro Negredo,Middlesbrough FC,2016-2017,4,9,,2016
31,,England,Premier_league,Ross Barkley,Everton FC,2016-2017,8,5,,2016
32,,England,Premier_league,Theo Walcott,Arsenal FC,2016-2017,2,10,33.,2016
33,,England,Premier_league,Michail Antonio,West Ham United,2016-2017,3,9,,2016
34,,England,Premier_league,Andre Gray,Burnley FC,2016-2017,3,9,,2016
35,,Scotland,Premier_league,Robert Snodgrass,West Ham UnitedHull City,2016-2017,5,7,,2016
36,,England,Premier_league,Junior Stanislas,AFC Bournemouth,2016-2017,5,7,,2016
37,,Scotland,Premier_league,Matt Phillips,West Bromwich Albion,2016-2017,8,4,,2016
38,,Algeria,Premier_league,Islam Slimani,Leicester City,2016-2017,4,7,39.,2016
39,,Brazil,Premier_league,Gabriel Jesus,Manchester City,2016-2017,4,7,,2016
40,,Austria,Premier_league,Marko Arnautović,Stoke City,2016-2017,5,6,,2016
41,,Spain,Premier_league,David Silva,Manchester City,2016-2017,7,4,,2016
42,,Argentina,Premier_league,Manuel Lanzini,West Ham United,2016-2017,2,8,43.,2016
43,,Venezuela,Premier_league,Salomón Rondón,West Bromwich Albion,2016-2017,2,8,,2016
44,,Brazil,Premier_league,Willian,Chelsea FC,2016-2017,2,8,,2016
45,,Belgium,Premier_league,Divock Origi,Liverpool FC,2016-2017,3,7,,2016
46,,England,Premier_league,James Milner,Liverpool FC,2016-2017,3,7,,2016
47,,England,Premier_league,Wayne Rooney,Manchester United,2016-2017,5,5,,2016
48,,Belgium,Premier_league,Nacer Chadli,West Bromwich Albion,2016-2017,5,5,,2016
49,,Belgium,Premier_league,Kevin Mirallas,Everton FC,2016-2017,6,4,,2016
50,,France,Premier_league,Anthony Martial,Manchester United,2016-2017,6,4,,2016
51,,England,Premier_league,Peter Crouch,Stoke City,2016-2017,2,7,52.,2016
52,,Spain,Premier_league,Mata,Manchester United,2016-2017,3,6,,2016
53,,Spain,Premier_league,Marcos Alonso,Chelsea FC,2016-2017,3,6,,2016
54,,Algeria,Premier_league,Riyad Mahrez,Leicester City,2016-2017,3,6,,2016
55,,Congo DR,Premier_league,Benik Afobe,AFC Bournemouth,2016-2017,3,6,,2016
56,,Ghana,Premier_league,André Ayew,West Ham United,2016-2017,3,6,,2016
57,,France,Premier_league,Paul Pogba,Manchester United,2016-2017,4,5,,2016
58,,England,Premier_league,Alex Oxlade-Chamberlain,Arsenal FC,2016-2017,7,2,,2016
59,,Serbia,Premier_league,Nemanja Matić,Chelsea FC,2016-2017,8,1,,2016
60,,England,Premier_league,Andy Carroll,West Ham United,2016-2017,1,7,61.,2016
61,,France,Premier_league,Étienne Capoue,Watford FC,2016-2017,1,7,,2016
62,,England,Premier_league,Nathan Redmond,Southampton FC,2016-2017,1,7,,2016
63,,Wales,Premier_league,Joe Allen,Stoke City,2016-2017,2,6,,2016
64,,England,Premier_league,Ashley Barnes,Burnley FC,2016-2017,2,6,,2016
65,,Netherlands,Premier_league,Leroy Fer,Swansea City,2016-2017,2,6,,2016
66,,Germany,Premier_league,Leroy Sané,Manchester City,2016-2017,3,5,,2016
67,,Scotland,Premier_league,James McArthur,Crystal Palace,2016-2017,3,5,,2016
68,,England,Premier_league,James Ward-Prowse,Southampton FC,2016-2017,4,4,,2016
69,,Serbia,Premier_league,Dušan Tadić,Southampton FC,2016-2017,5,3,,2016
70,,Scotland,Premier_league,Ryan Fraser,AFC Bournemouth,2016-2017,5,3,,2016
71,,France,Premier_league,Dimitri Payet,West Ham United,2016-2017,6,2,,2016
72,,England,Premier_league,Marc Albrighton,Leicester City,2016-2017,6,2,,2016
73,,England,Premier_league,Charlie Austin,Southampton FC,2016-2017,1,6,74.,2016
