,Jogos,Liga,Media,Rank,Temporada,Time,Total
0,19,Laliga,78.881,1,2015-2016,FC Barcelona,1498746
1,19,Laliga,69.736,2,2015-2016,Real Madrid,1324978
2,19,Laliga,44.647,3,2015-2016,Atlético Madrid,848288
3,19,Laliga,41.983000000000004,4,2015-2016,Athletic Bilbao,797676
4,19,Laliga,37.586,5,2015-2016,Valencia CF,714141
5,19,Laliga,36.99,6,2015-2016,Real Betis,702806
6,19,Laliga,34.191,7,2015-2016,Sevilla FC,649631
7,19,Laliga,23.534000000000002,8,2015-2016,Deportivo La Coruña,447151
8,19,Laliga,23.278000000000002,9,2015-2016,Sporting Gijón,442289
9,19,Laliga,21.279,10,2015-2016,UD Las Palmas,404301
10,19,Laliga,21.08,11,2015-2016,Málaga CF,400527
11,19,Laliga,20.552,12,2015-2016,Real Sociedad,390485
12,19,Laliga,19.39,13,2015-2016,Espanyol Barcelona,368409
13,19,Laliga,18.295,14,2015-2016,Celta Vigo,347600
14,19,Laliga,17.219,15,2015-2016,Villarreal CF,327160
15,19,Laliga,16.447,16,2015-2016,Granada CF,312491
16,19,Laliga,14.165999999999999,17,2015-2016,Levante UD,269149
17,19,Laliga,11.559000000000001,18,2015-2016,Rayo Vallecano,219623
18,19,Laliga,7.348,19,2015-2016,Getafe CF,139603
19,19,Laliga,5.2010000000000005,20,2015-2016,SD Eibar,98827
21,19,Laliga,77.461,1,2016-2017,FC Barcelona,1471762
22,19,Laliga,68.896,2,2016-2017,Real Madrid,1309021
23,19,Laliga,44.678000000000004,3,2016-2017,Atlético Madrid,848889
24,19,Laliga,39.475,4,2016-2017,Athletic Bilbao,750029
25,19,Laliga,33.936,5,2016-2017,Valencia CF,644776
26,19,Laliga,32.836999999999996,6,2016-2017,Sevilla FC,623901
27,19,Laliga,31.805,7,2016-2017,Real Betis,604290
28,19,Laliga,22.65,8,2016-2017,Sporting Gijón,430359
29,19,Laliga,22.131999999999998,9,2016-2017,Málaga CF,420505
30,19,Laliga,21.930999999999997,10,2016-2017,Deportivo La Coruña,416690
31,19,Laliga,21.427,11,2016-2017,Real Sociedad,407122
32,19,Laliga,20.419,12,2016-2017,UD Las Palmas,387966
33,19,Laliga,20.062,13,2016-2017,Espanyol Barcelona,381179
34,19,Laliga,17.488,14,2016-2017,Villarreal CF,332266
35,19,Laliga,16.590999999999998,15,2016-2017,Celta Vigo,315236
36,19,Laliga,16.112000000000002,16,2016-2017,CD Alavés,306136
37,19,Laliga,14.972999999999999,17,2016-2017,Granada CF,284494
38,19,Laliga,14.82,18,2016-2017,CA Osasuna,281587
39,19,Laliga,9.545,19,2016-2017,CD Leganés,181354
40,19,Laliga,5.357,20,2016-2017,SD Eibar,101788
42,19,Laliga,65.73100000000001,1,2017-2018,FC Barcelona,1248898
43,19,Laliga,65.027,2,2017-2018,Real Madrid,1235513
44,19,Laliga,55.486999999999995,3,2017-2018,Atlético Madrid,1054252
45,19,Laliga,46.393,4,2017-2018,Real Betis,881470
46,19,Laliga,38.699,5,2017-2018,Valencia CF,735273
47,19,Laliga,37.378,6,2017-2018,Athletic Bilbao,710175
48,19,Laliga,33.069,7,2017-2018,Sevilla FC,628314
49,19,Laliga,20.634,8,2017-2018,Deportivo La Coruña,392050
50,19,Laliga,20.401,9,2017-2018,Málaga CF,387618
51,19,Laliga,19.711,10,2017-2018,Real Sociedad,374514
52,19,Laliga,17.686,11,2017-2018,Levante UD,336029
53,19,Laliga,17.594,12,2017-2018,Espanyol Barcelona,334286
54,19,Laliga,16.663,13,2017-2018,Villarreal CF,316602
55,19,Laliga,16.254,14,2017-2018,Celta Vigo,308822
56,19,Laliga,16.102,15,2017-2018,UD Las Palmas,305931
57,19,Laliga,15.059000000000001,16,2017-2018,CD Alavés,286127
58,19,Laliga,10.202,17,2017-2018,Girona FC,193835
59,19,Laliga,10.197000000000001,18,2017-2018,Getafe CF,193736
60,18,Laliga,9.183,19,2017-2018,CD Leganés,165285
61,19,Laliga,5.3229999999999995,20,2017-2018,SD Eibar,101139
63,19,SerieA,45.538000000000004,1,2015-2016,Inter,865226
64,19,SerieA,40.19,2,2015-2016,AS Roma,763604
65,19,SerieA,39.099000000000004,3,2015-2016,SSC Napoli,742884
66,19,SerieA,38.663000000000004,4,2015-2016,Juventus,734597
67,19,SerieA,37.823,5,2015-2016,AC Milan,718638
68,19,SerieA,29.698,6,2015-2016,ACF Fiorentina,564266
69,19,SerieA,21.969,7,2015-2016,Sampdoria,417417
70,19,SerieA,21.464000000000002,8,2015-2016,Genoa CFC,407813
71,19,SerieA,21.274,9,2015-2016,Lazio Roma,404208
72,19,SerieA,20.823,10,2015-2016,Bologna FC,395639
73,19,SerieA,19.122,11,2015-2016,Torino FC,363322
74,19,SerieA,18.184,12,2015-2016,Hellas Verona,345498
75,19,SerieA,17.582,13,2015-2016,US Palermo,334064
76,19,SerieA,16.762,14,2015-2016,Udinese Calcio,318473
77,19,SerieA,15.945,15,2015-2016,Atalanta,302959
78,19,SerieA,11.664000000000001,16,2015-2016,Sassuolo Calcio,221608
79,19,SerieA,11.179,17,2015-2016,Chievo Verona,212400
80,19,SerieA,9.865,18,2015-2016,Empoli FC,187435
81,19,SerieA,8.808,19,2015-2016,Carpi FC,167343
82,19,SerieA,7.218,20,2015-2016,Frosinone Calcio,137143
84,19,SerieA,46.62,1,2016-2017,Inter,885788
85,19,SerieA,40.294000000000004,2,2016-2017,AC Milan,765591
86,19,SerieA,39.489000000000004,3,2016-2017,Juventus,750293
87,19,SerieA,36.605,4,2016-2017,SSC Napoli,695500
88,19,SerieA,32.638000000000005,5,2016-2017,AS Roma,620118
89,19,SerieA,26.47,6,2016-2017,ACF Fiorentina,502936
90,19,SerieA,21.947,7,2016-2017,Lazio Roma,417000
91,19,SerieA,21.912,8,2016-2017,Bologna FC,416330
92,19,SerieA,20.347,9,2016-2017,Genoa CFC,386590
93,19,SerieA,19.852,10,2016-2017,Sampdoria,377183
94,19,SerieA,19.3,11,2016-2017,Torino FC,366700
95,19,SerieA,17.448,12,2016-2017,Udinese Calcio,331516
96,19,SerieA,16.945999999999998,13,2016-2017,Atalanta,321968
97,19,SerieA,13.467,14,2016-2017,Cagliari Calcio,255868
98,19,SerieA,13.368,15,2016-2017,Chievo Verona,254000
99,19,SerieA,13.308,16,2016-2017,Pescara Calcio,252857
100,19,SerieA,13.204,17,2016-2017,US Palermo,250876
101,19,SerieA,12.362,18,2016-2017,Sassuolo Calcio,234874
102,19,SerieA,9.482999999999999,19,2016-2017,Empoli FC,180179
103,19,SerieA,8.222000000000001,20,2016-2017,FC Crotone,156211
105,19,SerieA,57.528999999999996,1,2017-2018,Inter,1093053
106,19,SerieA,52.69,2,2017-2018,AC Milan,1001114
107,19,SerieA,43.05,3,2017-2018,SSC Napoli,817942
